SMILES,NR3C1,GRIN1,PDE4D,ADRB2,ADRB1,ADORA2A,MAOA,AR,PTGS1,PTGS2,HRH1,OPRK1,ACHE,HTR1B,CHRM2,OPRD1,CHRM1,SLC6A4,HTR2B,CNR1,KCNH2,DRD2,CNR2,ADRA2A,SCN5A,LCK,GABRA1,HTR3A,CCKAR,PDE3A,DRD1,HTR2A,KCNQ1,ADRA1A,CHRM3,OPRM1,CACNA1C,HTR1A,CHRNA4,SLC6A2,EDNRA,HRH2,SLC6A3,AVPR1A
COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)[C@@H]1C[C@@H](OC(C)=O)O[C@@H]1O4,-5.7,-8.1,-9.0,-9.6,-9.3,-7.6,-5.0,-0.3,-9.2,-7.2,-6.2,-8.4,-11.1,-9.8,0.0,-8.1,-8.0,-9.8,-8.4,-9.2,-6.0,-8.8,-8.9,-7.3,-8.9,-7.9,-8.2,-8.4,-8.9,-9.0,-8.1,-10.2,-7.5,-8.1,-3.3,-8.3,-8.0,-9.2,-4.5,-10.3,-7.9,-7.6,-8.1,-7.1
CO[C@@]12O[C@H](C)[C@@H](C)C1=C(C)C(=O)C1=C2Oc2cc(O)c(C)c3c2[C@H]1O[C@H](C)[C@H]3C,-4.6,-8.7,-8.8,-8.3,-9.2,-0.3,0.0,0.0,-10.6,-6.8,-4.6,-8.5,-9.1,-9.0,0.0,-7.7,-8.7,-9.6,-7.4,-4.8,-6.3,-8.7,-6.2,-9.3,-9.0,-7.6,-7.3,-8.2,-7.9,-9.5,-6.9,-8.1,-8.4,-7.2,0.0,-8.6,-9.0,-9.3,0.0,-7.7,-6.8,-3.9,-7.1,-8.2
CC(C)(O)CCc1ccc(O)c2c(=O)c3c(O)c4c(cc3oc12)O[C@H]1OC=C[C@@]41O,-7.7,-8.5,-9.4,-10.4,-10.0,-8.4,-11.0,-4.6,-8.6,-7.4,-6.6,-9.9,-10.3,-10.4,0.0,-8.7,-8.1,-10.5,-10.1,-10.9,-5.9,-10.0,-9.9,-9.3,-9.6,-8.6,-9.8,-10.0,-9.2,-10.5,-7.9,-10.8,-7.7,-9.3,-6.8,-8.4,-8.3,-9.5,-4.0,-9.8,-7.0,-7.6,-9.5,-7.6
COc1cc(=O)oc2cc(O)c(-c3c(O)cc(C)c4c(OC)cc(=O)oc34)c(C)c12,-7.1,-8.4,-9.2,-9.1,-9.7,-8.9,-6.0,-2.7,-8.1,-6.8,-6.1,-8.7,-9.7,-9.4,0.0,-7.9,-8.4,-10.1,-9.4,-6.6,-6.0,-9.9,-6.6,-9.6,-8.3,-7.9,-10.1,-9.1,-9.9,-9.2,-9.4,-9.6,-8.0,-4.3,-1.8,-8.3,-8.0,-9.0,0.0,-9.7,-6.9,-5.5,-7.9,-7.5
COc1cc(=O)oc2cc(O)c(-c3c(O)cc4oc(=O)cc(OC)c4c3C)c(C)c12,-5.4,-8.6,-10.2,-9.9,-9.6,-10.2,-2.6,-3.1,-8.0,-6.8,-6.4,-8.3,-8.6,-9.7,0.0,-7.7,-7.9,-9.8,-10.6,-7.0,-6.6,-9.1,-8.0,-9.3,-8.5,-7.8,-9.6,-9.7,-10.2,-9.2,-9.3,-9.1,-7.7,-4.5,0.0,-8.3,-8.0,-8.5,0.0,-10.2,-7.2,-4.1,-7.4,-7.3
CC(C)=CCOc1c(C)cc2oc3ccc(CC=C(C)C)c(O)c3c(=O)c2c1CO,-7.0,-8.5,-8.9,-9.8,-10.0,-10.4,-10.0,-2.1,-8.6,-6.7,-6.6,-8.2,-10.5,-9.9,0.0,-7.3,-7.3,-9.7,-8.9,-9.1,-5.9,-9.3,-10.1,-8.0,-8.3,-7.1,-9.2,-8.0,-8.6,-9.2,-8.4,-10.2,-7.4,-6.6,-2.7,-8.8,-8.0,-8.8,0.0,-10.1,-7.7,-6.2,-8.9,-7.7
CC(C)=CCOc1c(C)cc2oc3c(CC=C(C)C)ccc(O)c3c(=O)c2c1CO,-7.1,-8.3,-9.3,-9.8,-9.9,-10.0,-8.4,-2.5,-9.1,-7.9,-8.2,-8.3,-9.8,-9.6,0.0,-8.4,-7.9,-9.6,-10.1,-9.9,-6.2,-9.2,-9.2,-8.1,-8.9,-9.2,-9.0,-8.7,-8.8,-9.2,-8.4,-9.4,-7.6,-7.6,-4.9,-8.4,-8.1,-9.3,0.0,-9.8,-7.0,-7.2,-9.1,-7.6
CC(=O)OC[C@]12CCC(C)=C[C@H]1O[C@@H]1[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2,-7.9,-7.1,-6.6,-8.2,-7.7,-6.9,0.0,-5.2,-8.3,-5.4,-4.6,-7.0,-8.4,-7.9,0.0,-7.3,-7.4,-8.4,-7.2,-7.2,-5.1,-6.9,-5.4,-6.2,-7.0,-6.7,-5.4,-8.1,-7.5,-6.8,-6.4,-6.1,-6.1,-7.4,-4.3,-7.2,-7.5,-7.6,-1.8,-8.5,-5.9,-4.5,-7.7,-6.7
O=C1N[C@@H](Cc2c[nH]c3ccccc23)c2nc3ccccc3c(=O)n2-c2ccccc21,-10.6,-10.6,-10.6,-11.6,-12.6,-6.6,-5.0,-5.2,-11.0,-8.3,-6.2,-11.1,-10.0,-11.5,0.0,-10.7,-10.3,-12.6,-12.3,-11.6,-7.8,-10.7,-9.0,-9.8,-10.3,-9.8,-11.2,-11.6,-10.8,-11.2,-10.3,-10.8,-9.9,-9.3,-3.3,-12.4,-10.4,-11.2,0.0,-11.3,-8.8,-9.1,-12.7,-9.8
C[C@@H]1Cc2c(Cl)cc(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,-7.9,-8.8,-8.3,-9.4,-10.3,-9.8,-9.2,-6.2,-8.9,-6.3,-8.0,-8.4,-10.5,-10.0,0.0,-7.8,-9.2,-10.0,-9.9,-8.8,-5.6,-9.5,-10.9,-7.6,-9.4,-7.2,-8.5,-8.9,-8.9,-8.9,-8.8,-11.6,-7.3,-8.3,-5.4,-8.6,-7.8,-9.7,-5.1,-9.7,-7.6,-8.3,-9.3,-7.7
CC1=C[C@H]2C=C(C)[C@@H](C)[C@H]3[C@H](CC(C)C)NC(=O)[C@@]23OC(=O)/C=C/[C@@H](O)CCC1,-7.9,-9.1,-9.2,-10.8,-9.3,-1.2,0.0,-1.3,-7.6,-7.2,-5.2,-8.7,-8.3,-10.2,0.0,-8.6,-9.7,-10.9,-7.6,-7.5,-6.5,-8.8,-8.1,-8.0,-8.6,-7.6,-7.4,-7.5,-10.0,-9.5,-8.7,-7.3,-8.2,-4.7,0.0,-9.6,-8.9,-8.9,0.0,-11.3,-7.3,-3.5,-8.8,-8.1
COc1cc2c(c3oc(=O)c4c(c13)CC/C4=N\OCC(=O)O)[C@]1(O)C=CO[C@@H]1O2,-7.5,-8.1,-7.6,-8.5,-8.8,-4.1,-1.8,-6.1,-7.7,-6.2,-6.0,-8.3,-10.6,-8.7,0.0,-7.7,-9.0,-9.5,-7.3,-8.1,-5.2,-8.4,-6.0,-7.1,-7.8,-6.8,-7.6,-8.1,-8.9,-7.7,-7.2,-8.8,-6.9,-6.0,-4.6,-8.0,-7.7,-8.6,0.0,-8.9,-6.7,-6.2,-8.1,-7.6
COc1cc2c(c(O)c1OCC=C(C)CCC=C(C)CCC=C(C)C)COC2=O,-8.8,-7.5,-7.8,-8.7,-8.4,-7.7,-6.4,-5.0,-7.9,-7.3,-6.8,-7.9,-10.0,-8.6,0.0,-6.4,-8.5,-9.3,-8.9,-7.9,-4.5,-8.6,-8.7,-6.9,-7.8,-8.1,-9.1,-8.0,-8.1,-7.9,-7.7,-8.9,-6.9,-7.9,-6.7,-6.9,-7.0,-8.2,-4.3,-8.1,-6.5,-6.8,-8.3,-6.1
CC1=C[C@H]2O[C@@H]3C[C@@H](OC(=O)/C=C\C=C\C=C\C(=O)O)[C@](C)([C@@]2(C)CC1)[C@]31CO1,-7.1,-8.2,-7.2,-8.8,-8.2,-8.6,-1.0,-5.9,-8.5,-6.7,-5.5,-7.5,-8.5,-9.3,0.0,-7.9,-7.9,-9.2,-10.1,-9.7,-5.7,-7.5,-8.7,-7.8,-8.2,-7.1,-7.1,-8.4,-8.5,-8.7,-7.6,-8.4,-7.1,-8.3,-5.4,-8.6,-7.4,-8.8,-2.6,-9.9,-7.0,-6.6,-8.8,-7.2
Cc1c([C@H](C)[C@H](C)O)c(O)c2oc3cc(=O)c(C)c4c-3c(c2c1O)O[C@H](C)[C@H]4C,-7.9,-8.8,-9.0,-10.9,-10.6,-10.5,-5.1,0.0,-7.0,-7.5,-6.3,-10.7,-11.3,-9.8,0.0,-7.6,-8.7,-9.9,-9.9,-7.2,-5.8,-8.9,-10.1,-7.6,-9.5,-7.9,-9.2,-8.5,-8.8,-9.1,-9.3,-9.5,-7.1,-2.5,-4.0,-9.1,-8.7,-8.9,0.0,-10.3,-6.9,-7.1,-9.2,-7.5
C[C@H]1CCCC(=O)CCC/C=C\c2cc(OS(=O)(=O)O)cc(O)c2C(=O)O1,-6.8,-8.3,-9.9,-9.6,-10.8,-8.0,-2.4,-0.7,-9.7,-7.0,-4.6,-8.4,-8.9,-10.1,0.0,-7.9,-8.7,-10.2,-8.4,-10.0,-7.3,-9.2,-8.6,-7.7,-8.9,-8.5,-9.5,-9.2,-10.8,-10.0,-8.1,-9.1,-8.2,-5.2,-5.2,-8.6,-8.5,-9.0,0.0,-9.4,-7.6,-5.8,-7.6,-7.5
CCCCO[C@H]1C[C@H]2c3c(cc(OC)c4c(=O)c5c(O)cccc5oc34)O[C@H]2O1,-7.7,-8.1,-9.2,-9.4,-9.0,-9.5,-7.3,-6.8,-8.5,-8.5,-6.1,-8.0,-9.2,-9.7,0.0,-7.3,-7.7,-9.5,-9.0,-9.5,-6.1,-9.3,-10.5,-7.9,-8.6,-8.4,-10.1,-9.7,-8.5,-8.6,-8.2,-9.8,-8.1,-6.9,-5.5,-8.6,-8.1,-9.1,-3.7,-9.5,-7.4,-7.3,-8.9,-6.9
CCCCO[C@@H]1C[C@H]2c3c(cc(OC)c4c(=O)c5c(O)cccc5oc34)O[C@H]2O1,-7.9,-8.0,-8.2,-9.7,-8.9,-8.9,-5.9,-5.6,-9.1,-6.4,-9.6,-8.4,-10.2,-9.1,0.0,-7.5,-7.9,-9.0,-9.4,-8.7,-5.6,-8.4,-8.9,-7.2,-9.1,-8.2,-7.9,-9.0,-9.4,-8.9,-8.4,-8.4,-7.0,-8.7,-7.1,-9.0,-7.9,-8.5,-2.0,-9.8,-7.2,-7.0,-8.8,-7.6
Cc1c2c(c3oc4cc(=O)c(C)c5c-4c(c3c1O)O[C@H](C)[C@H]5C)O[C@H](C)[C@]2(C)O,-5.8,-9.6,-9.8,-10.7,-10.8,-9.9,-1.4,0.0,-6.4,-7.4,-5.8,-10.5,-8.6,-10.3,0.0,-8.3,-9.5,-10.7,-8.3,-6.6,-6.6,-9.7,-11.4,-8.9,-10.0,-8.1,-9.0,-8.9,-9.5,-10.8,-9.8,-10.1,-7.9,-2.2,-0.8,-9.3,-9.9,-10.0,0.0,-10.5,-7.9,-7.3,-8.6,-8.1
CC(=O)OC[C@]12[C@H](O)C(=O)C(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2,-8.3,-6.7,-6.7,-8.0,-8.1,-6.6,0.0,-5.3,-8.2,-6.8,-5.0,-7.0,-8.7,-8.1,0.0,-7.0,-7.2,-8.7,-8.1,-7.1,-4.9,-6.1,-4.9,-6.3,-6.5,-7.3,-4.9,-6.4,-8.3,-7.2,-7.4,-6.3,-6.4,-7.3,-5.6,-7.3,-7.1,-7.1,-1.4,-8.2,-6.2,-4.4,-7.2,-6.8
Cc1c(O)c(C)c2oc3c4c(c(C)c(=O)c-3c3c2c1[C@H](C)[C@@H](C)O3)[C@H](C)[C@@H](C)O4,-3.6,-10.0,-10.3,-11.1,-11.6,-11.9,-2.1,0.0,-9.0,-7.6,-5.6,-10.3,-9.9,-11.9,0.0,-10.1,-10.5,-11.4,-10.3,-6.9,-7.2,-10.3,-9.4,-8.8,-10.6,-8.7,-10.6,-9.9,-10.8,-11.4,-9.9,-10.9,-9.1,-0.2,-1.4,-9.4,-9.6,-9.8,0.0,-9.6,-7.9,-6.0,-9.0,-8.3
CC(C)=CCCC(C)=CCCC(C)=CCc1c(O)c(Cl)c(C)c(C=O)c1O,-7.2,-7.5,-8.0,-9.3,-8.8,-8.6,-7.3,-7.0,-8.1,-7.0,-8.0,-7.5,-10.0,-8.1,0.0,-6.2,-7.1,-8.2,-9.2,-7.9,-3.7,-8.4,-8.3,-7.3,-7.8,-8.2,-8.6,-7.6,-8.0,-6.8,-7.6,-9.6,-7.2,-8.5,-6.4,-6.7,-7.2,-8.7,-6.9,-8.7,-6.9,-6.9,-8.1,-5.4
COc1c(C)c2c(c(O)c1CC=C(C)CCC=C(C)CCC(=O)O)C(=O)OC2,-8.4,-7.9,-8.2,-9.4,-8.8,-8.3,-8.3,-8.1,-7.9,-7.0,-7.2,-7.9,-9.1,-8.4,0.0,-6.8,-6.6,-8.4,-9.0,-8.4,-4.9,-7.9,-10.0,-6.6,-7.5,-7.1,-8.6,-7.8,-8.0,-8.3,-7.9,-9.5,-7.2,-9.0,-6.9,-7.2,-6.7,-8.3,-4.8,-8.4,-6.0,-7.3,-7.3,-5.7
COc1cc(O)cc(C)c1C(=O)c1c(O)c(Cl)c(OC)c(Cl)c1OC,-7.8,-7.0,-7.3,-7.5,-7.2,-7.1,-5.7,-6.6,-7.6,-6.9,-5.7,-6.5,-9.2,-7.7,0.0,-7.1,-7.5,-8.0,-7.6,-7.8,-4.4,-6.8,-6.8,-6.4,-6.6,-7.1,-7.2,-8.2,-8.5,-7.4,-6.6,-8.2,-5.8,-7.0,-6.1,-7.3,-6.9,-7.8,-2.1,-8.1,-5.9,-6.1,-7.5,-6.0
COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)[C@@H]1C[C@H](OC)O[C@@H]1O4,-7.5,-8.8,-8.5,-8.9,-8.8,-8.0,-6.2,-1.3,-8.9,-7.4,-6.4,-7.7,-10.7,-9.6,0.0,-7.5,-8.2,-9.6,-8.7,-8.6,-6.1,-8.4,-8.7,-7.6,-8.8,-8.0,-8.9,-9.1,-8.7,-8.9,-8.1,-10.1,-7.2,-8.3,-3.7,-7.9,-7.8,-8.5,-2.2,-10.0,-7.1,-7.3,-7.3,-7.1
COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)[C@@H]1C[C@@H](OC)O[C@@H]1O4,-6.0,-8.6,-8.8,-9.5,-9.3,-8.2,-4.4,-1.2,-9.2,-6.9,-6.5,-8.1,-10.6,-9.9,0.0,-7.6,-7.7,-9.6,-8.4,-9.1,-6.0,-8.8,-8.4,-7.4,-8.7,-8.3,-8.7,-9.0,-8.6,-9.0,-7.8,-9.8,-7.6,-8.7,-5.0,-8.0,-8.0,-9.0,-4.6,-10.2,-7.1,-7.2,-7.9,-7.3
COc1cc2c(c3oc(=O)c4c(c13)CC/C4=N\OCC(=O)O)[C@@H]1C=CO[C@@H]1O2,-7.4,-8.7,-7.9,-8.8,-8.5,-5.6,0.0,-5.9,-8.3,-6.1,-5.2,-8.0,-10.3,-8.5,0.0,-7.4,-8.7,-9.3,-7.4,-7.7,-5.8,-8.0,-5.2,-6.8,-8.2,-6.8,-7.3,-9.0,-8.5,-7.8,-8.2,-8.8,-6.7,-7.5,-4.2,-7.7,-7.7,-8.2,0.0,-8.8,-6.5,-5.3,-7.7,-7.6
COc1cc(O)c2c(=O)c3c(OC)cc4c(c3oc2c1OC)[C@@H]1C=CO[C@@H]1O4,-7.0,-8.1,-8.6,-8.9,-9.0,-7.2,-1.3,-1.9,-9.0,-7.1,-6.4,-7.6,-9.4,-9.4,0.0,-7.7,-7.8,-9.2,-7.7,-8.5,-6.1,-7.9,-7.5,-7.9,-8.2,-8.2,-8.3,-8.7,-8.6,-8.6,-8.0,-9.0,-7.4,-8.6,-5.4,-8.0,-7.5,-8.6,-0.7,-9.5,-6.9,-7.5,-7.9,-7.2
CC1=C[C@H]2O[C@@H]3[C@H](O)[C@@H](O)[C@](C)([C@@]2(CO)C[C@@H]1OC(=O)CC(C)C)[C@]31CO1,-8.9,-7.4,-7.6,-7.8,-7.9,-6.8,-1.5,-3.9,-7.9,-6.4,-5.5,-7.2,-7.5,-8.3,0.0,-6.9,-7.3,-8.4,-8.6,-6.8,-5.0,-6.2,-6.5,-6.8,-6.8,-6.4,-7.0,-7.2,-7.7,-7.6,-7.4,-7.1,-6.6,-8.5,-3.9,-7.3,-7.1,-7.5,0.0,-8.6,-6.0,-5.3,-8.1,-7.2
CC(=O)OC[C@]12C[C@H](O)C(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@@]12CO2,-7.7,-7.1,-6.9,-8.2,-8.2,-5.7,0.0,-6.1,-7.6,-5.9,-5.0,-6.8,-8.3,-7.8,0.0,-7.2,-7.3,-8.8,-8.0,-7.0,-5.2,-6.4,-5.5,-6.4,-7.1,-6.9,-5.7,-7.1,-8.0,-7.0,-6.5,-7.1,-6.5,-7.3,-4.6,-7.6,-7.3,-7.4,-2.9,-8.7,-5.6,-4.7,-8.1,-6.8
COc1cc(C)c2c(=O)c3c(oc2c1)C(=O)c1c(O)c(OC)cc(O)c1C3=O,-8.4,-9.0,-11.0,-10.2,-10.1,-10.2,-9.0,-2.0,-9.1,-7.5,-6.9,-9.3,-9.8,-10.0,0.0,-8.0,-7.7,-10.2,-10.0,-9.8,-5.8,-9.5,-8.0,-8.4,-8.8,-8.4,-9.1,-9.2,-10.1,-10.8,-9.2,-9.4,-8.2,-6.1,-0.7,-8.2,-8.3,-9.2,0.0,-10.2,-7.6,-6.9,-8.5,-7.6
COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C(Cl)=C(Cl)O[C@@H]1O2,-10.3,-9.0,-9.7,-10.2,-9.9,-10.8,-6.1,-3.5,-9.6,-8.0,-5.6,-9.1,-10.2,-9.4,0.0,-7.9,-8.7,-10.3,-8.5,-9.8,-6.4,-8.9,-10.4,-8.4,-9.3,-9.0,-10.7,-9.2,-10.5,-9.9,-10.1,-10.3,-8.7,-9.6,-7.6,-8.7,-8.2,-9.4,-1.9,-9.9,-6.8,-7.0,-7.8,-7.5
CC=C(C)c1cc(O)c(C)c2c1Oc1c(C)c(O)cc(C(C)=CC)c1C(=O)O2,-5.9,-8.9,-9.6,-9.4,-9.7,-8.8,-1.5,0.0,-10.3,-6.3,-3.5,-8.9,-8.9,-10.1,0.0,-8.2,-9.1,-9.9,-7.6,-10.2,-6.1,-9.1,-6.9,-7.4,-9.3,-8.0,-8.1,-8.0,-8.8,-9.1,-8.4,-8.4,-7.6,-8.7,-4.6,-9.2,-8.1,-8.8,0.0,-7.5,-7.2,-4.4,-7.9,-7.7
CC(=O)OC[C@@]12CC(=O)C(C)=C[C@H]1O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@]2(C)[C@@]12CO2,-8.0,-7.7,-6.9,-8.2,-7.9,-3.8,-1.2,-2.3,-7.8,-6.1,-5.3,-7.1,-8.7,-8.8,0.0,-6.8,-7.4,-8.4,-7.5,-7.8,-4.9,-6.8,-4.9,-6.0,-6.8,-6.4,-5.4,-7.9,-7.7,-7.1,-6.8,-6.2,-6.4,-7.1,-4.9,-7.5,-7.6,-7.9,0.0,-8.7,-6.2,-5.8,-7.4,-6.1
COc1ccc2c3c([nH]c2c1)[C@H](C=C(C)C)N1C(=O)[C@@H]2CCCN2C(=O)[C@@H]1C3,-5.9,-9.4,-9.8,-10.0,-11.0,-8.7,0.0,-1.7,-8.7,-6.2,-5.9,-9.3,-11.0,-10.2,0.0,-8.3,-8.2,-10.6,-9.9,-10.8,-6.5,-9.7,-10.3,-9.0,-10.0,-8.0,-10.8,-8.8,-10.4,-10.0,-9.2,-10.8,-8.7,-6.0,-6.0,-8.7,-8.9,-9.4,-4.1,-10.4,-7.5,-5.1,-8.0,-7.7
CC1=C[C@H]2O[C@@H]3C[C@@H](O)[C@](C)([C@@]2(COC(=O)/C=C(\C)CCO)CC1)[C@]31CO1,-8.2,-7.4,-7.8,-8.0,-7.5,-7.9,-1.5,-5.8,-7.5,-5.3,-5.8,-7.3,-8.3,-8.0,0.0,-6.7,-7.2,-8.8,-8.7,-7.9,-4.7,-6.9,-8.5,-6.3,-6.7,-7.4,-6.6,-7.2,-7.0,-7.9,-6.3,-7.0,-6.3,-7.2,-3.2,-7.7,-6.7,-7.1,-1.0,-8.4,-5.9,-5.8,-8.9,-6.9
COc1cc(O)c2c(c1)[C@H]1O[C@@H]1C[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,-7.9,-9.0,-9.0,-8.6,-8.7,-5.6,0.0,-0.3,-7.4,-6.7,-4.5,-7.4,-8.3,-9.2,0.0,-7.9,-8.8,-8.4,-7.0,-8.3,-5.7,-7.5,-5.8,-7.2,-7.8,-7.1,-7.9,-7.3,-8.9,-9.0,-6.9,-6.4,-7.4,-6.8,-5.2,-8.1,-8.8,-8.9,0.0,-8.1,-6.4,-3.9,-7.5,-7.1
COc1cc(O)c2c(c1)[C@H]1O[C@H]1C[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,-6.6,-8.0,-8.8,-7.7,-9.1,-5.2,-1.5,-1.3,-8.0,-6.6,-5.1,-7.6,-7.5,-8.8,0.0,-7.4,-8.2,-9.3,-7.7,-6.7,-6.0,-7.8,-5.0,-7.7,-7.6,-7.4,-6.6,-6.6,-8.6,-8.0,-6.3,-8.5,-7.2,-9.0,-5.3,-8.1,-8.5,-9.2,0.0,-8.7,-7.0,-4.2,-6.4,-8.1
CC1=C[C@H]2O[C@@H]3[C@H](O)[C@@H](OC(=O)/C=C\C=C\CO)[C@](C)([C@@]2(C)CC1)[C@]31CO1,-7.6,-8.4,-8.4,-8.2,-7.5,-7.3,-3.6,-3.5,-7.8,-6.1,-5.3,-7.2,-8.7,-8.2,0.0,-6.6,-8.3,-8.2,-9.2,-7.8,-4.8,-6.8,-7.4,-7.4,-7.5,-6.3,-5.9,-7.7,-8.3,-8.2,-7.1,-7.1,-6.6,-6.9,-3.3,-7.4,-7.1,-7.8,-0.8,-8.7,-6.3,-6.4,-7.8,-6.9
CC1=C[C@H]2O[C@@H]3[C@H](O)C[C@](C)([C@@]2(COS(=O)(=O)O)[C@H](O)C1=O)[C@]31CO1,-7.5,-7.0,-6.7,-8.2,-7.3,-6.5,0.0,-2.2,-8.2,-5.7,-5.4,-7.4,-9.1,-8.4,0.0,-7.6,-7.7,-8.7,-7.7,-6.9,-4.7,-6.4,-7.2,-6.5,-7.2,-6.1,-5.5,-6.1,-8.1,-7.0,-6.6,-7.3,-6.2,-6.2,-3.6,-7.1,-6.9,-7.5,0.0,-7.9,-6.3,-4.9,-7.7,-6.3
CC1=C[C@H]2O[C@@H]3[C@H](OS(=O)(=O)O)C[C@](C)([C@@]2(CO)[C@H](O)C1=O)[C@]31CO1,-8.0,-6.9,-7.0,-7.9,-7.6,-5.5,0.0,-2.4,-7.2,-6.2,-5.5,-7.4,-8.2,-7.4,0.0,-6.1,-7.4,-8.2,-7.4,-7.4,-4.9,-6.2,-4.9,-6.5,-6.7,-6.2,-5.7,-6.1,-7.9,-7.3,-6.8,-6.6,-6.0,-5.7,-3.8,-7.3,-7.0,-6.7,-1.2,-7.9,-6.1,-4.5,-7.8,-6.8
C/C=C\C[C@H](C)C[C@H](C)/C(O)=C1/C(=O)N[C@@H]([C@@H](O)c2ccc(O)cc2)C1=O,-8.3,-7.9,-8.2,-9.6,-9.1,-8.7,-9.0,-7.8,-8.1,-6.5,-8.0,-7.9,-9.8,-8.7,0.0,-7.5,-8.2,-8.2,-9.0,-9.1,-5.3,-9.8,-9.5,-7.2,-7.8,-8.6,-8.7,-8.1,-8.2,-8.3,-7.9,-9.4,-6.4,-9.1,-7.1,-8.1,-7.3,-8.7,-4.5,-10.1,-6.6,-7.1,-9.0,-7.1
C/C=C/C[C@H](C)C[C@H](C)/C(O)=C1/C(=O)N[C@@H]([C@@H](O)c2ccc(O)cc2)C1=O,-8.6,-8.0,-8.1,-8.9,-8.7,-8.7,-8.7,-8.6,-9.3,-8.1,-8.1,-8.3,-10.4,-9.0,0.0,-6.9,-8.3,-9.2,-8.9,-9.4,-5.4,-9.6,-9.1,-7.1,-8.2,-7.8,-8.5,-7.6,-8.2,-8.5,-8.5,-9.5,-6.7,-8.9,-6.7,-7.9,-6.9,-8.9,-5.5,-9.5,-7.3,-8.3,-8.8,-6.4
COc1ccc(-c2oc3c(OC)c(OC)c(OC)cc3c(=O)c2OC)cc1,-6.2,-7.9,-8.2,-8.8,-8.4,-8.8,-5.6,-4.0,-8.0,-5.7,-6.6,-7.2,-7.9,-8.2,0.0,-7.0,-6.2,-8.4,-8.1,-8.3,-4.8,-7.9,-7.9,-7.0,-7.1,-7.3,-8.0,-7.7,-7.8,-8.7,-7.4,-8.0,-6.3,-5.6,-5.6,-7.4,-6.8,-7.4,-3.7,-8.3,-6.0,-5.9,-8.8,-6.2
CCCCCC(=O)c1c(O)cc2c(c1O)C(=O)c1c(O)cc(O)cc1C2=O,-8.8,-8.6,-8.9,-9.9,-9.5,-9.7,-8.3,-7.3,-8.1,-8.9,-6.5,-8.3,-10.4,-8.5,0.0,-7.4,-8.0,-9.1,-8.8,-8.4,-5.5,-9.2,-9.2,-7.7,-8.3,-8.1,-9.0,-8.8,-9.4,-8.7,-8.3,-10.1,-7.7,-7.8,-7.2,-7.9,-7.5,-8.8,-1.6,-9.2,-7.3,-7.2,-8.5,-7.0
C[C@@H]1Cc2ccc(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,-9.2,-8.8,-9.5,-9.6,-10.6,-10.2,-9.0,-7.7,-9.1,-7.6,-8.7,-8.8,-11.7,-9.9,0.0,-8.5,-10.0,-10.3,-10.1,-9.5,-5.6,-9.4,-10.8,-8.3,-9.4,-8.0,-10.3,-9.3,-9.1,-8.9,-9.3,-11.1,-7.7,-9.8,-6.8,-9.5,-7.8,-9.8,-4.9,-10.3,-7.5,-9.2,-9.7,-7.7
COc1c(-c2ccc(O)c(O)c2)cc(OC)c2c1oc1cc(O)c(O)cc12,-8.3,-8.4,-9.1,-9.7,-9.6,-10.4,-5.6,-3.7,-8.6,-7.1,-7.1,-8.1,-10.1,-9.4,0.0,-7.8,-7.6,-9.6,-9.4,-9.2,-5.6,-8.7,-9.0,-8.3,-8.1,-9.0,-9.3,-9.1,-9.3,-9.6,-9.9,-9.3,-7.5,-6.4,-4.4,-8.2,-8.7,-8.8,-5.4,-9.3,-6.9,-7.0,-8.8,-7.5
CC1=C[C@H]2O[C@@H]3[C@H](O)C[C@](C)([C@@]2(CO)C[C@@H]1OC(=O)CC(C)C)[C@]31CO1,-8.6,-7.7,-7.3,-8.5,-8.1,-6.1,-5.6,-4.2,-8.3,-5.9,-5.3,-7.5,-9.6,-7.6,0.0,-6.7,-7.7,-8.3,-8.6,-7.1,-5.0,-6.9,-7.9,-7.1,-7.6,-7.3,-6.9,-8.5,-8.4,-8.4,-6.6,-7.0,-6.4,-9.4,-4.5,-6.7,-6.9,-7.5,0.0,-8.4,-6.5,-6.0,-8.6,-7.0
