SMILES,NR3C1,GRIN1,PDE4D,ADRB2,ADRB1,ADORA2A,MAOA,AR,PTGS1,PTGS2,HRH1,OPRK1,ACHE,HTR1B,CHRM2,OPRD1,CHRM1,SLC6A4,HTR2B,CNR1,KCNH2,DRD2,CNR2,ADRA2A,SCN5A,LCK,GABRA1,HTR3A,CCKAR,PDE3A,DRD1,HTR2A,KCNQ1,ADRA1A,CHRM3,OPRM1,CACNA1C,HTR1A,CHRNA4,SLC6A2,EDNRA,HRH2,SLC6A3,AVPR1A
C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@@]23[C@H]2[C@@H]4[C@H](C(C)=C[C@@H](C)C[C@H]4O[C@H]12)[C@@H](O)[C@H]3O,-6.0,-9.2,-10.3,-9.2,-11.8,-7.1,-0.1,0.0,-10.3,-7.9,-4.2,-9.6,-8.7,-11.2,0.0,-9.9,-8.6,-10.5,-10.3,-8.7,-7.7,-9.8,-6.3,-8.6,-10.4,-8.6,-8.7,-8.7,-10.2,-10.8,-8.1,-6.6,-8.7,0.0,0.0,-10.4,-10.1,-11.4,0.0,-10.3,-8.0,-5.4,-10.5,-9.7
C=CC(C)(C)[C@@]12Nc3c(ccc4c3C=CC(C)(C)O4)[C@]1(O)C[C@H]1C(=O)N3CCC[C@H]3C(=O)N12,-1.6,-9.0,-9.2,-9.9,-9.7,-3.4,0.0,-1.1,-7.1,-8.7,-6.5,-9.5,-7.3,-8.7,0.0,-8.3,-9.2,-9.3,-8.1,-5.3,-6.5,-8.7,-3.2,-8.0,-9.2,-8.4,-7.1,-8.3,-9.3,-9.9,-7.9,-6.2,-8.6,-6.5,0.0,-10.0,-10.3,-9.1,0.0,-10.2,-7.5,-6.9,-6.3,-8.0
C=CC(C)(C)[C@]1(C[C@@H]2NC(=O)[C@@H]3CCCN3C2=O)C(=O)Nc2c1ccc1c2C=CC(C)(C)O1,-4.7,-9.2,-8.7,-10.9,-9.5,-7.4,0.0,-3.2,-8.3,-7.2,-6.4,-9.4,-10.6,-10.6,0.0,-10.1,-9.0,-10.6,-9.3,-10.5,-6.1,-9.4,-10.5,-8.3,-9.3,-8.4,-9.1,-10.0,-11.0,-9.2,-8.7,-10.1,-9.0,-7.0,-2.8,-10.4,-8.8,-9.8,0.0,-12.5,-7.8,-7.9,-8.7,-8.6
CC=C(C)c1cc(OC)c(C)c2c1Oc1c(CO)c(O)cc(C(C)=CC(=O)O)c1C(=O)O2,-4.7,-8.8,-8.4,-9.3,-9.3,-6.9,-3.4,0.0,-8.1,-5.8,-2.2,-7.9,-7.2,-9.3,0.0,-7.5,-8.1,-9.1,-8.2,-9.4,-5.4,-8.1,-6.8,-7.4,-8.8,-7.6,-8.5,-6.6,-8.8,-9.2,-8.2,-7.8,-7.3,-7.1,-3.1,-8.2,-7.8,-8.2,0.0,-7.7,-6.6,-0.9,-7.0,-7.1
CC1=C2C(=CO[C@H](C)[C@H]2C)C(=O)C(C(C)C2=C(O)C(C)=C3C(=CO[C@H](C)[C@H]3C)C2=O)=C1O,-2.4,-9.1,-9.0,-9.4,-10.7,-8.4,-4.3,0.0,-3.8,-6.8,-5.6,-8.9,-9.3,-9.8,0.0,-8.5,-9.1,-10.8,-7.9,-6.3,-6.6,-9.0,-6.8,-8.6,-9.7,-9.9,-8.4,-9.8,-9.3,-8.5,-9.5,-8.8,-8.6,-4.3,0.0,-9.2,-9.1,-10.3,0.0,-11.6,-7.7,-5.6,-8.1,-8.3
COc1cc2oc(=O)cc(OC)c2c(C)c1-c1c(OC)cc(C)c2c(OC)cc(=O)oc12,-4.5,-7.8,-8.9,-8.0,-8.1,-7.9,0.0,0.0,-7.6,-6.4,-4.2,-7.5,-8.5,-8.9,0.0,-7.6,-8.2,-9.9,-8.6,-5.1,-5.3,-9.6,-3.6,-6.9,-8.1,-7.1,-8.9,-8.5,-9.9,-8.5,-8.4,-8.0,-7.1,-3.9,-0.4,-8.8,-7.5,-9.3,0.0,-9.9,-6.7,-5.8,-7.5,-7.2
COc1cc2oc(=O)cc(OC)c2c(C)c1-c1c(OC)cc2oc(=O)cc(OC)c2c1C,-5.0,-8.0,-9.4,-8.3,-9.8,-8.3,0.0,0.0,-8.5,-6.6,-5.3,-7.8,-8.6,-9.6,0.0,-7.6,-8.2,-9.8,-9.6,-6.6,-5.5,-9.1,-5.9,-7.7,-8.1,-6.9,-9.3,-8.8,-10.1,-9.0,-8.7,-8.7,-7.2,-1.1,0.0,-8.0,-7.5,-8.3,-2.4,-9.2,-7.3,-4.4,-7.2,-7.2
COc1cc(C)c2c(OC)cc(=O)oc2c1-c1c(OC)cc(C)c2c(OC)cc(=O)oc12,-3.5,-7.3,-8.4,-8.4,-7.8,-6.0,0.0,0.0,-7.7,-5.8,-5.9,-8.2,-8.1,-9.4,0.0,-7.3,-7.8,-10.2,-6.5,-5.4,-5.6,-8.3,-3.7,-6.8,-7.8,-7.3,-7.9,-8.5,-9.6,-8.4,-6.7,-6.8,-7.1,-5.7,0.0,-8.7,-7.9,-9.1,0.0,-8.3,-6.6,-4.5,-6.3,-7.1
C[C@H](CO)C1=C(c2c[nH]c3ccccc23)[C@@H]2[C@H](C)C[C@@H](O)[C@@]3(C)[C@H](C)CC[C@H](O)[C@@]23CC1,-8.9,-8.3,-7.8,-9.4,-8.8,-5.0,0.0,0.0,-7.1,-7.3,-4.7,-8.7,-8.6,-9.9,0.0,-10.0,-9.1,-10.7,-10.7,-5.7,-6.0,-7.4,-4.1,-7.3,-8.8,-7.8,-6.1,-7.4,-9.1,-9.2,-7.8,-5.7,-8.2,-5.3,0.0,-8.9,-8.9,-8.4,0.0,-9.2,-6.7,-4.3,-7.5,-7.6
C=CC(C)(C)c1[nH]c2c(CC=C(C)C)c(O)ccc2c1C[C@@H]1NC(=O)[C@@H]2CCCN2C1=O,-7.1,-8.5,-9.5,-9.7,-10.2,-10.8,-8.1,-6.2,-8.9,-6.6,-5.3,-10.2,-11.0,-10.0,0.0,-8.5,-7.4,-9.8,-10.5,-9.8,-6.2,-9.4,-10.4,-7.9,-9.8,-8.9,-10.3,-9.4,-9.2,-9.4,-8.5,-9.6,-7.8,-9.0,-4.9,-9.5,-8.1,-9.4,0.0,-10.1,-7.1,-7.3,-9.9,-7.6
